keyword,sentiment,sw,,,,,,,,,,
best shower,Positive,0.690721649,,,,,,,,,,
best sleep,Positive,0.641025641,,,,,,,,,,
best staff,Positive,0.68627451,,,,,,,,,,
best stay,Positive,0.746666667,,,,,,,,,,
best value,Positive,0.585585586,,,,,,,,,,
best view,Positive,0.523076923,,,,,,,,,,
best views,Positive,0.6,,,,,,,,,,
beware !,Negetive,-0.811659193,,,,,,,,,,
big bath,Positive,0.491803279,,,,,,,,,,
big bathroom,Positive,0.507598784,,,,,,,,,,
big comfortable,Positive,0.736434109,,,,,,,,,,
big comfy,Positive,0.61627907,,,,,,,,,,
big disappointment,Negetive,-0.752808989,,,,,,,,,,
big mistake,Negetive,-0.886419753,,,,,,,,,,
big problem,Negetive,-0.639889197,,,,,,,,,,
big thank,Positive,0.868583162,,,,,,,,,,
big thanks,Positive,0.824561404,,,,,,,,,,
biggest disappointment,Negetive,-0.768844221,,,,,,,,,,
biggest gripe,Negetive,-0.714285714,,,,,,,,,,
biggest issue,Negetive,-0.765124555,,,,,,,,,,
biggest problem,Negetive,-0.807692308,,,,,,,,,,
bit dirty,Negetive,-0.728813559,,,,,,,,,,
bit grubby,Negetive,-0.769784173,,,,,,,,,,
bit shabby,Negetive,-0.684491979,,,,,,,,,,
bit tatty,Negetive,-0.742857143,,,,,,,,,,
bites,Negetive,-0.744075829,,,,,,,,,,
bitten,Negetive,-0.977715877,,,,,,,,,,
bitterly,Negetive,-0.717391304,,,,,,,,,,
bitterly disappointed,Negetive,-0.891304348,,,,,,,,,,
bizarrely,Negetive,-0.75,,,,,,,,,,
black mold,Negetive,-0.974522293,,,,,,,,,,
black mould,Negetive,-0.971119134,,,,,,,,,,
blah,Negetive,-0.645714286,,,,,,,,,,
blame,Negetive,-0.675141243,,,,,,,,,,
blamed,Negetive,-0.865229111,,,,,,,,,,
blaming,Negetive,-0.949579832,,,,,,,,,,
blank,Negetive,-0.828418231,,,,,,,,,,
blaring,Negetive,-0.732142857,,,,,,,,,,
blasted,Negetive,-0.651162791,,,,,,,,,,
blasting,Negetive,-0.758865248,,,,,,,,,,
blatant,Negetive,-0.908256881,,,,,,,,,,
bleak,Negetive,-0.705426357,,,,,,,,,,
bliss,Positive,0.579908676,,,,,,,,,,
blood,Negetive,-0.913453973,,,,,,,,,,
blood stain,Negetive,-0.952755906,,,,,,,,,,
blood stains,Negetive,-0.983050847,,,,,,,,,,
